date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,trailing-high-idx,date-instant,trailing-high-date,setup,signal,initial,px0,px5,px10,px20,px40,category,pl
2022-01-18 00:00:00+00:00,CCK,111.66,113.14,111.34,112.87,337119,3.805062153E7,114.56,176,-0.028107541899441313,-0.1682960893854749,936,760,2022-01-18T00:00Z,2021-05-07T00:00Z,true,true,true,116.48,107.27,116.03,121.77,126.04,Stock,-0.020000000000000018
2018-07-17 00:00:00+00:00,CCT,16.35,16.73,16.35,16.55,105483,1745743.6500000001,16.9,299,-0.032544378698224685,-0.08639053254437867,53,0,2018-07-17T00:00Z,2018-05-01T00:00Z,true,true,true,16.91,16.89,17.03,16.48,16.19,,-0.013045535186280377
2024-10-15 00:00:00+00:00,CHH,134.6,135.38,133.38,133.59,82271,1.099058289E7,135.94,297,-0.018831837575400967,-0.19854347506252756,1625,1328,2024-10-15T00:00Z,2023-08-10T00:00Z,true,true,true,134.88,136.09,141.0,144.34,145.59,Stock,0.07940391459074747
2019-08-13 00:00:00+00:00,CHT,34.05,34.49,33.96,34.2,28082,960404.4,36.98,298,-0.08166576527852887,-0.10308462958080666,323,25,2019-08-13T00:00Z,2018-06-06T00:00Z,true,true,true,37.46,37.36,37.13,36.73,36.35,Stock,-0.029631607047517328
2020-06-01 00:00:00+00:00,CHT,37.24,37.53,37.24,37.43,21451,802910.93,37.57,131,-0.008783603939313211,-0.0983390456103348,457,326,2020-06-01T00:00Z,2019-11-20T00:00Z,true,true,true,37.5,38.07,37.65,38.67,36.64,Stock,0.010575999999999919
2021-01-08 00:00:00+00:00,CHT,39.02,39.45,39.02,39.45,37034,1460991.3,39.48,133,-0.011651469098277412,-0.0922120064899945,611,478,2021-01-08T00:00Z,2020-06-30T00:00Z,true,true,true,39.57,39.64,38.8,38.98,39.27,Stock,-0.018266363406621133
2025-05-01 00:00:00+00:00,CHT,40.32,40.44,39.51,40.27,61707,2484940.89,40.615,148,-0.027206697033115956,-0.1361231361231361,1693,1545,2025-05-01T00:00Z,2024-09-26T00:00Z,true,true,true,42.08,42.02,43.56,43.48,46.61,Stock,0.10765209125475295
2018-06-25 00:00:00+00:00,CL,64.32,65.25,64.19,65.11,1967507,1.2810438077E8,65.39,299,-0.01835142988224503,-0.06270071876433703,38,0,2018-06-25T00:00Z,2018-05-01T00:00Z,true,true,true,65.14,64.58,65.73,65.27,67.4,Stock,0.0346945041449187
2019-04-17 00:00:00+00:00,CL,68.89,68.96,68.56,68.68,711282,4.8850847760000005E7,69.29,142,-0.010535430798095047,-0.17145331216625792,242,100,2019-04-17T00:00Z,2018-09-21T00:00Z,true,true,true,69.35,68.69,71.82,72.5,73.35,Stock,0.05767844268204758
2020-02-05 00:00:00+00:00,CL,75.25,75.865,74.53,75.73,1585659,1.2008195607000001E8,76.41,131,-0.024604109409763097,-0.17001010246788872,444,313,2020-02-05T00:00Z,2019-07-30T00:00Z,true,true,true,76.31,75.95,75.16,72.34,68.17,Stock,-0.03476870659153464
2024-01-25 00:00:00+00:00,CL,80.24,81.43,80.03,81.22,2354774,1.9125474428E8,82.28,252,-0.027345649003402972,-0.19295942720763726,1443,1191,2024-01-25T00:00Z,2023-01-24T00:00Z,true,true,true,82.83,86.12,84.26,86.25,89.2,Stock,0.018925510080888497
2020-02-07 00:00:00+00:00,CLX,165.07,166.55,163.63,166.23,425697,7.076361231E7,167.69,235,-0.024211342357922327,-0.14377720794322846,382,147,2020-02-07T00:00Z,2018-11-28T00:00Z,true,true,true,167.66,164.83,167.19,174.9,181.38,Stock,0.08183227961350359
